id,state_name,year,YIELD,AWC,SOM,CEC,Latitude,Longitude,EVI_AVG,GCI_AVG,NDVI_AVG,NDWI_AVG,ppt (mm)_AVG,tmax (degrees C)_AVG,tmean (degrees C)_AVG,tmin (degrees C)_AVG,ssm_AVG,susm_AVG,HIST_AVG_YIELD
1099,ALABAMA,2021,191.3,0.14,0.84,6.55,31.56,-87.38,0.42,17.81,0.78,0.62,143.54,25.03,18.84,12.66,14.56,58.11,147.0
1099,ALABAMA,2022,132.2,0.14,0.84,6.55,31.56,-87.38,0.42,19.25,0.79,0.62,143.95,25.1,18.5,11.88,16.43,68.74,154.4
1103,ALABAMA,2016,107.0,0.15,0.85,17.79,34.43,-86.85,0.39,9.68,0.63,0.41,103.09,23.38,16.84,10.32,14.1,74.41,107.0
1103,ALABAMA,2017,182.7,0.15,0.85,17.79,34.43,-86.85,0.42,10.57,0.66,0.43,135.38,22.65,16.72,10.82,21.89,118.17,107.0
1103,ALABAMA,2018,176.8,0.15,0.85,17.79,34.43,-86.85,0.41,9.67,0.64,0.42,144.22,22.04,16.34,10.64,17.14,88.99,144.8
1103,ALABAMA,2019,140.0,0.15,0.85,17.79,34.43,-86.85,0.41,10.29,0.66,0.45,158.62,22.94,16.94,10.92,15.73,82.58,155.5
1103,ALABAMA,2020,171.4,0.15,0.85,17.79,34.43,-86.85,0.42,10.87,0.68,0.47,170.8,22.13,16.44,10.7,14.61,75.66,151.6
1103,ALABAMA,2022,89.3,0.15,0.85,17.79,34.43,-86.85,0.37,8.48,0.61,0.38,126.68,22.62,16.27,9.9,15.67,78.5,155.6
1105,ALABAMA,2016,123.7,0.14,1.13,26.15,32.64,-87.29,0.4,13.65,0.73,0.55,96.8,25.22,18.58,11.97,12.28,49.65,123.7
1105,ALABAMA,2017,122.3,0.14,1.13,26.15,32.64,-87.29,0.43,13.57,0.74,0.56,141.84,24.63,18.51,12.4,19.88,82.69,123.7
1105,ALABAMA,2018,145.2,0.14,1.13,26.15,32.64,-87.29,0.42,13.0,0.73,0.55,141.39,24.17,18.12,12.07,16.65,67.94,123.0
1105,ALABAMA,2019,110.2,0.14,1.13,26.15,32.64,-87.29,0.42,14.38,0.75,0.56,121.25,25.27,18.72,12.2,15.79,64.85,130.4
1105,ALABAMA,2020,154.7,0.14,1.13,26.15,32.64,-87.29,0.4,15.42,0.74,0.56,142.7,24.34,18.24,12.09,14.18,57.68,125.4
1105,ALABAMA,2021,152.0,0.14,1.13,26.15,32.64,-87.29,0.41,15.6,0.76,0.56,133.05,23.78,17.82,11.85,14.7,60.85,131.2
1105,ALABAMA,2022,68.0,0.14,1.13,26.15,32.64,-87.29,0.39,13.46,0.73,0.55,128.41,24.25,17.75,11.24,15.0,64.07,134.7
1109,ALABAMA,2016,123.9,0.12,0.96,13.47,31.76,-85.93,0.38,10.7,0.66,0.43,96.12,25.92,19.52,13.12,13.86,47.82,123.9
1109,ALABAMA,2017,126.0,0.12,0.96,13.47,31.76,-85.93,0.39,10.89,0.68,0.45,145.43,25.35,19.46,13.58,18.56,64.76,123.9
1109,ALABAMA,2020,136.4,0.12,0.96,13.47,31.76,-85.93,0.4,11.04,0.68,0.44,142.3,25.3,19.49,13.69,14.16,49.05,125.0
1111,ALABAMA,2016,97.0,0.14,0.8,9.11,33.27,-85.47,0.37,10.26,0.64,0.44,88.03,24.14,17.32,10.47,12.36,53.69,97.0
1111,ALABAMA,2017,92.2,0.14,0.8,9.11,33.27,-85.47,0.38,10.14,0.66,0.45,146.87,22.82,17.04,11.28,21.79,96.94,97.0
